ID,Smiles
47,O=C(C(C(OC)=CC=C1)=C1C2=O)C3=C2C(O)=C(C[C@@](O)(C(C)=O)C[C@@H]4O[C@@]5([H])C[C@H](N)[C@H](O)[C@H](C)O5)C4=C3O.[H]Cl
48,C[C@@]12[C@](CC[C@]2([H])[C@H](C)CCC(O)=O)([H])[C@@]3([H])[C@]([C@@]4([C@](C[C@H](O)CC4)([H])CC3)C)([H])CC1
49,C[C@@]1([C@H]2O)[C@](CC2)([H])[C@@](CCC3=C4C=CC(O)=C3)([H])[C@]4([H])CC1
50,O=C(C1=CC=CC=C1N2)N(CCN3CCC(C(C4=CC=C(F)C=C4)=O)CC3)C2=O.O=C(O)[C@H](O)[C@@H](O)C(O)=O
51,CN1[C@@H]2C[C@@H](OC([C@@H](C3=CC=CC=C3)CO)=O)C[C@H]1CC2
52,C[C@]([C@@](C[C@H]1O)([H])[C@]2(CC[C@@H]3O[C@@](O[C@H](CO)[C@@H](O)[C@@H]4O)([H])[C@@H]4O[C@]([C@@H]([C@@H](O)[C@@H]5O)O)([H])O[C@@H]5CO)C)(CC[C@@]2([H])C3(C)C)[C@]6([C@@]1([H])[C@]([C@@](C)(O)CC/C=C(C)/C)([H])CC6)C
53,O=C(O)CC[C@@H](C)[C@]1([H])[C@]2(C)[C@](CC1)([H])[C@]3([H])[C@H](O)C[C@@](C4)([H])[C@@](CC[C@H]4O)(C)[C@]([H])3CC2
54,O=C1C2=C(C=CC=C2)C(C3=CC(O)=C(CO)C(O)=C13)=O
55,O=C1C=CC(C(O1)=C2)=C(O)C3=C2OC=C3
56,O=C(C(O)(C1=CC=CC=C1)C2CCCCC2)OCC#CCN(CC)CC.[H]Cl
57,O=C1C[C@@H](C2=CC=C(OC)C(O)=C2)OC3=CC(O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O[C@@]5([H])[C@@H]([C@@H]([C@H]([C@H](C)O5)O)O)O)=CC(O)=C13
58,O=C(O)CC[C@@H](C(O)=O)NC(C1=CC=C(NCC2=CN=C3N=C(N)NC(C3=N2)=O)C=C1)=O
59,O=C1C(C)=C(C/C=C(C)/CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(C2=C1C=CC=C2)=O
60,O=C(C(CCCC1)N1C)NC(C(C)=CC=C2)=C2C.Cl
61,OC(CC(O)CCC1=CC=C(O)C(OC)=C1)CCC2=CC=C(O)C(OC)=C2
62,O=S(ON1[C@]2([H])CC[C@@H](C(N)=O)[N@@](C2)C1=O)([O-])=O.[Na+]
63,C[C@H]1[C@@H](OC)O[C@@]2([H])[C@]34[C@@]([C@H](C)CC[C@]41[H])([H])CC[C@@](O2)(C)OO3
64,C[C@]1([C@](CC2)([H])[C@]3([H])CCC4=C(C=CC(O)=C4)[C@@]3([H])CC1)C2=O
65,OC1=C(O)C=CC(CC(C([O-])=O)O)=C1.[Na+]
66,O=C([C@]1(CCC(C)(C)C2)[C@]2([H])C3=CC[C@@]4([H])[C@@](C)(CC[C@]5([H])[C@@]4(CC[C@H](O[C@]([C@@H]([C@@H](O)[C@@H]6O)O)([H])O[C@@H]6C(O)=O)C5(C)C)C)[C@]3(C)CC1)O[C@@H]([C@@H]([C@@H](O)[C@@H]7O)O)O[C@@H]7CO
67,C[C@@H](C1=CC=C2OC)[C@]3([H])C4=CC(OC)=C(OC)C=C4CCN3CC1=C2OC
68,O=C(C1=CCCN(C)C1)OC.Br
69,C[C@H](Cl)[C@@]([C@@]([C@@H]([C@H](O)[C@H]1O)O)([H])O[C@@H]1SC)([H])NC([C@@H]2C[C@@H](CCC)CN2C)=O.Cl
70,C[C@@H]1[C@]23[C@](C(CC3)=O)([H])[C@]([C@H](OC(CS[C@@H]4C[C@@H]5N(C)[C@@H](CC5)C4)=O)C[C@](C=C)(C)[C@H]1O)([C@H](C)CC2)C
